"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 03-Oct-2023"
"NIFTY 200","14,412.50","14,522.55","14,412.35","14,616.80","14,519.00","-","-97.80","-0.67","30,15,63,900","14,395.18","14,833.75","10,017.55","2.09","39.55"
"BSE","3,800.00","4,161.15","3,745.05","3,858.90","4,118.50","-","259.60","6.73","24,75,980","992.62","4,200.00","1,252.65","39.56","197.33"
"JINDALSTEL","1,030.00","1,069.00","1,027.05","1,035.35","1,063.70","-","28.35","2.74","10,12,403","107.12","1,097.00","581.60","7.25","48.00"
"JSWSTEEL","1,028.00","1,060.00","1,025.45","1,027.30","1,050.65","-","23.35","2.27","10,94,268","114.68","1,060.00","723.00","9.23","33.37"
"PETRONET","340.00","355.20","340.00","344.10","351.60","-","7.50","2.18","19,21,535","67.34","384.20","191.70","-5.98","43.76"
"HINDZINC","517.00","530.50","512.55","519.90","528.90","-","9.00","1.73","11,84,048","62.09","807.70","284.60","5.27","69.35"
"DELHIVERY","418.45","427.25","414.85","419.35","425.90","-","6.55","1.56","3,21,903","13.62","488.00","354.20","0.79","1.66"
"ONGC","295.00","298.00","294.00","291.95","296.10","-","4.15","1.42","75,42,215","223.42","345.00","179.90","-10.50","58.15"
"TATASTEEL","165.50","169.70","164.52","167.03","169.25","-","2.22","1.33","1,97,33,449","331.92","184.60","114.60","9.26","30.49"
"APLAPOLLO","1,611.00","1,646.90","1,569.00","1,621.60","1,642.90","-","21.30","1.31","2,39,523","38.69","1,788.35","1,305.00","12.95","-1.14"
"BHARTIHEXA","1,390.00","1,423.35","1,378.70","1,397.60","1,415.00","-","17.40","1.24","41,791","5.87","1,568.00","755.00","13.47","-"
"DMART","4,924.55","5,015.00","4,881.00","4,954.35","5,012.25","-","57.90","1.17","1,29,426","64.37","5,484.85","3,616.00","-0.91","32.98"
"POLICYBZR","1,724.00","1,760.00","1,693.75","1,730.45","1,748.90","-","18.45","1.07","4,91,526","85.70","1,966.50","661.30","-1.09","127.57"
"KPITTECH","1,667.55","1,693.75","1,640.05","1,672.50","1,690.00","-","17.50","1.05","2,90,981","48.70","1,928.70","1,091.20","-5.31","48.01"
"GAIL","232.14","242.90","232.14","239.76","242.14","-","2.38","0.99","47,96,613","115.33","246.30","116.15","2.44","93.35"
"MARICO","694.00","719.85","694.00","693.65","700.20","-","6.55","0.94","18,64,341","132.13","719.85","486.30","6.56","20.49"
"MFSL","1,184.70","1,197.80","1,174.25","1,185.75","1,196.75","-","11.00","0.93","57,572","6.83","1,212.85","854.25","6.42","32.56"
"DIVISLAB","5,400.00","5,475.00","5,241.70","5,423.80","5,472.00","-","48.20","0.89","57,856","31.32","5,582.95","3,295.30","7.68","45.63"
